ph,turbidity,tds,chlorine,fluoride,nitrate,coliform,temperature,symptom_diarrhea_count,symptom_vomiting_count,symptom_fever_count,symptom_abdominal_pain_count,symptom_jaundice_count,symptom_dehydration_count,symptom_fatigue_count,symptom_nausea_count,symptom_headache_count,mild_case_count,moderate_case_count,severe_case_count,critical_case_count,symptoms_list,disease_outbreak_label,symptom_abdominal_cramps_count,symptom_loss_of_appetite_count,mild_case,moderate_case,severe_case,critical_case,district_Dibrugarh,district_Jorhat,district_Kamrup Metro,district_Sonitpur,primary_water_source_Municipal tap water,primary_water_source_Pond water,primary_water_source_River water,primary_water_source_Tube well,primary_water_source_Well water
7.39,23.5,409,0.35,0.43,3,180,20.9,5,2,1,3,0,9,10,0,0,18,9,4,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False
7.33,17.2,354,0.37,0.29,78,110,25.8,1,5,9,3,0,3,20,2,10,28,8,6,1,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,True,False,False,False,False,True,False,False
6.96,6.6,92,0.58,0.41,7,0,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,True,False,False,False,True,False,False,False
7.13,20.9,79,0.1,0.44,18,65,27.1,2,6,7,1,29,6,3,15,3,42,21,3,2,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False
7.27,5.5,39,0.84,0.45,1,7,21.8,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False
7.14,67.9,197,0.12,0.22,5,361,23.8,25,12,4,5,0,12,3,5,6,38,20,7,0,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,True,False,False,False,False,False,False,True
7.03,11.7,369,0.22,0.24,5,224,20.2,10,1,2,0,0,2,8,5,6,14,10,2,1,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,True,False,False,False,False,True,False,False,False
6.93,44.0,345,0.21,0.62,3,202,21.2,2,21,4,7,0,10,8,3,4,35,17,2,0,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False
7.1,23.7,366,0.54,0.21,1,241,26.5,15,6,0,1,0,7,6,2,6,18,10,3,1,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,True,False,False,True,False,False,False,False
6.81,3.3,102,0.76,0.49,3,1,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,True,False,False,False,False,False,False,True,False
7.4,32.8,472,0.54,0.37,71,145,25.8,1,0,23,3,0,0,6,9,9,23,14,5,1,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,True,False,False,False,False,True,False,False,False
7.16,80.8,229,0.26,0.6,1,228,27.8,10,21,7,13,0,1,2,14,4,31,15,7,0,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,True,False,False,False,False,True,False,False
7.09,25.2,191,0.34,0.14,16,123,23.9,3,6,2,6,14,3,7,15,5,29,19,5,1,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,True,False,False,False,True,False,False,False
7.44,32.1,293,0.8,0.24,37,76,23.7,2,5,9,17,0,1,15,6,10,33,10,7,0,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,True,False,False,False,False,True,False
6.8,0.6,47,0.58,0.36,5,3,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False
7.15,36.0,664,0.14,0.45,6,244,24.6,11,19,2,8,0,9,5,7,5,33,18,4,1,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
6.94,23.1,216,0.8,0.34,40,91,27.6,4,3,10,18,0,5,9,10,12,45,19,9,2,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,True,False,False,False,False,True,False
7.78,27.6,349,0.04,0.44,10,647,19.9,24,8,4,8,0,13,10,7,1,41,18,9,0,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False
7.02,18.8,89,0.09,0.22,21,84,24.4,0,3,3,6,11,0,12,6,4,29,10,3,1,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,True,False,False,False,True,False,False,False
6.88,39.9,400,0.24,0.48,3,104,26.2,15,3,6,0,0,10,3,6,1,27,12,4,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False
6.96,25.2,514,0.39,0.22,57,75,24.6,4,2,14,7,0,3,5,9,6,32,10,3,1,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False
7.46,35.0,410,0.1,0.52,1,169,26.2,18,7,3,2,0,3,9,1,1,21,11,4,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False
6.95,19.6,435,0.76,0.13,53,71,19.8,3,3,14,12,0,6,4,6,10,27,12,8,0,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False
7.46,78.2,505,0.1,0.36,16,753,23.3,25,8,4,2,0,16,4,8,1,29,20,6,1,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,True,False,False,False,True,False,False,False,False
6.84,15.2,258,0.54,0.51,5,140,25.7,16,3,4,3,0,11,5,1,3,32,11,5,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,True,False,False,False,False,False,True
7.26,74.7,656,0.11,0.68,2,242,22.9,6,19,8,7,0,10,4,2,3,36,20,7,2,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True
6.17,72.4,663,0.22,0.67,17,428,20.0,15,13,4,2,0,6,2,5,2,22,16,5,0,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False
7.22,25.7,439,0.79,0.33,76,47,23.0,5,5,24,6,0,1,9,3,3,28,16,2,2,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,False,True,False,False,False,True,False
7.35,88.6,458,0.09,0.44,4,389,20.2,7,7,3,10,0,9,6,14,5,41,9,6,2,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,True,False,False,False,False,False,False,True
7.02,9.1,468,0.51,0.49,52,50,24.8,0,5,7,13,0,4,4,5,2,26,12,3,1,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False
7.05,32.3,393,0.29,0.3,2,326,22.6,3,24,8,5,0,9,9,6,0,35,18,8,2,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False
6.84,35.9,168,0.08,0.24,3,132,21.2,7,0,5,7,0,4,10,4,2,15,7,4,1,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False
7.09,8.7,69,0.39,0.12,5,72,24.6,6,3,7,8,27,3,7,14,0,42,14,8,2,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False
7.34,24.5,284,0.4,0.29,54,20,24.4,4,5,12,18,0,5,6,7,3,25,15,5,2,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False
7.47,1.0,112,0.83,0.29,2,6,24.9,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False
6.57,23.3,347,0.39,0.18,12,513,22.2,23,8,4,4,0,19,3,3,6,35,15,4,0,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False
6.84,23.1,90,0.32,0.39,23,143,18.1,2,3,3,0,30,3,10,12,6,31,23,4,2,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,True,False,False,False,False,True,False,False,False
7.27,12.0,187,0.23,0.3,6,249,19.8,7,0,0,6,0,7,7,6,1,22,7,3,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False
7.36,15.7,164,0.32,0.37,14,84,21.1,5,6,8,7,30,2,19,6,3,46,15,9,0,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
7.45,11.4,190,0.19,0.48,17,63,25.0,4,4,8,0,22,6,18,12,3,36,25,11,1,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False
7.59,20.8,324,0.16,0.16,1,294,27.1,14,1,2,7,0,5,4,3,3,26,9,1,1,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False
7.51,10.6,116,0.35,0.45,6,149,20.4,5,2,9,7,29,4,18,7,2,35,24,12,0,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,True,False,False,True,False,False,False
7.31,42.3,384,0.45,0.18,2,170,24.4,5,16,8,18,0,10,1,9,0,31,15,8,0,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,True,False,False,False,False,True,False,False
7.22,37.3,438,0.54,0.61,3,295,24.3,15,8,1,8,0,9,6,0,0,31,11,4,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False
7.58,92.6,255,0.28,0.68,2,393,27.9,6,15,2,20,0,4,3,14,0,37,11,5,1,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,True,False,False,True,False,False,False,False
6.98,27.4,261,0.39,0.6,10,298,23.9,18,5,1,9,0,11,6,2,2,32,8,7,1,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
7.59,2.4,38,0.93,0.4,3,4,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True
7.14,49.7,593,0.4,0.49,6,687,21.5,25,7,4,3,0,12,2,1,2,37,16,6,2,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,False,False,True,False,False,False,True,False
6.81,12.8,51,0.1,0.47,16,36,24.5,2,1,9,3,20,1,3,16,1,33,12,8,1,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False
7.41,22.0,351,0.12,0.48,8,174,25.5,12,0,5,4,0,5,8,3,1,16,8,4,1,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False
7.73,54.0,572,0.06,0.29,17,716,22.4,18,7,1,9,0,19,2,8,0,34,21,6,2,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
7.16,6.0,179,0.73,0.32,70,23,25.8,0,2,8,11,0,4,3,5,10,26,12,3,1,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
6.99,21.8,362,0.44,0.24,55,98,21.8,1,4,21,7,0,1,7,5,12,28,20,2,1,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,True,False,False,True,False,False,False
7.45,14.1,69,0.34,0.24,9,113,24.0,0,4,2,0,30,3,9,18,1,34,13,3,1,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,True,False,False,False,False,True,False,False
7.45,8.0,177,0.66,0.36,70,123,26.1,2,5,22,8,0,1,3,9,10,37,10,6,2,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False
6.82,10.8,316,0.31,0.42,5,84,24.8,17,0,4,1,0,6,5,4,4,21,6,4,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False
6.84,24.2,588,0.71,0.58,49,20,27.2,0,1,17,10,0,6,12,2,9,34,16,6,0,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False
7.53,8.1,125,0.2,0.58,17,121,19.9,6,1,4,4,9,1,13,16,6,24,11,6,0,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,True,False,False,False,False,True,False
6.87,28.2,208,0.56,0.11,44,65,21.5,0,6,20,6,0,3,12,8,9,30,12,8,1,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,True,False,False,False,False,False,False,True
7.37,7.0,54,0.63,0.32,4,2,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False
6.97,21.1,122,0.3,0.25,10,135,21.6,2,3,5,8,16,2,6,6,4,32,17,7,0,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,False,True,True,False,False,False,False
7.16,56.1,456,0.45,0.33,1,91,20.1,7,21,5,19,0,3,9,6,3,34,19,4,2,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,True,False,False,False,True,False,False,False
7.21,16.2,396,0.53,0.57,73,103,27.6,4,6,15,16,0,6,11,1,7,45,10,7,1,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False
7.11,18.6,420,0.44,0.24,7,251,26.1,13,8,5,4,0,5,10,4,0,20,11,3,2,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False
7.02,18.8,457,0.52,0.12,3,129,24.4,19,7,3,2,0,7,7,0,2,20,9,3,1,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False
6.95,15.2,410,0.2,0.22,61,31,25.3,1,1,12,10,0,0,7,4,11,26,9,3,0,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True
7.07,26.8,410,0.44,0.12,7,145,23.6,10,3,3,3,0,9,3,2,6,16,6,4,1,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,True,False,False,False,True,False,False,False,False
7.41,31.4,538,0.12,0.55,79,108,23.0,5,3,10,5,0,1,20,1,7,35,11,5,2,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,True,False,False,False,False,True,False,False
6.96,21.1,239,0.48,0.28,49,102,24.8,3,4,9,5,0,6,7,3,5,26,7,3,1,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False
6.87,1.3,117,1.16,0.41,5,7,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False
7.23,7.4,71,0.68,0.47,3,2,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,True,False,False,False,False,False,False,True
7.47,71.8,321,0.17,0.63,3,361,25.8,8,21,3,20,0,8,10,11,0,42,22,4,1,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,True,False,False,False,False,False,True,False
7.04,33.4,558,0.29,0.23,73,139,21.3,0,4,16,3,0,0,12,3,5,18,14,2,0,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,False,True,False,False,False,False,True
7.2,5.8,155,0.08,0.11,12,72,18.9,6,1,5,5,10,6,5,5,5,19,16,6,2,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,True,False,False,False,True,False,False,False,False
7.02,15.8,212,0.16,0.45,55,90,24.2,1,5,20,11,0,3,11,8,12,48,23,10,1,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False
7.12,84.9,216,0.33,0.46,6,78,23.4,2,20,6,9,0,9,8,13,6,50,19,4,3,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False
7.25,24.9,198,0.11,0.13,1,162,19.9,17,6,6,0,0,11,5,3,4,23,8,4,2,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False
6.95,19.9,113,0.12,0.65,1,156,21.3,17,7,6,6,0,4,5,1,4,34,11,3,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False
7.12,98.5,243,0.31,0.41,9,102,22.9,3,11,4,16,0,10,2,6,4,29,16,6,2,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
7.13,44.2,322,0.18,0.21,7,245,23.6,15,1,2,0,0,8,7,4,4,17,9,3,1,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False
7.76,26.0,295,0.25,0.42,27,681,22.2,10,5,3,10,0,11,3,3,6,32,10,5,0,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False
7.45,13.5,147,0.09,0.19,12,78,23.8,0,1,6,3,22,5,11,7,6,36,21,7,1,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False
7.42,3.6,124,0.71,0.43,4,3,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False
6.99,34.9,601,0.39,0.58,1,316,21.7,7,8,6,17,0,10,10,15,1,34,22,7,2,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False
7.09,6.2,172,0.13,0.47,11,132,18.2,4,0,2,1,6,1,7,16,6,17,7,3,1,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,True,False,False,False,True,False,False
7.53,23.4,476,0.63,0.48,78,77,18.2,3,0,12,15,0,2,9,3,5,25,14,6,0,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False
6.82,2.5,35,0.52,0.28,0,7,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,True,False,False,False,False,True,False,False,False
7.15,4.5,83,0.79,0.25,1,0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False
6.94,47.1,200,0.31,0.16,3,383,25.7,3,17,8,20,0,12,2,7,2,35,18,7,2,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,False,True,False,False,True,False,False,False
7.46,94.5,631,0.11,0.63,6,385,23.0,8,13,3,17,0,7,7,9,6,38,20,10,1,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,True,False,False,False,False,True,False,False,False
6.84,5.4,69,0.89,0.52,0,6,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False
7.54,4.3,63,0.71,0.21,1,4,24.9,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,True,False,False,False,True,False,False,False,False
6.92,7.5,75,0.98,0.11,1,4,24.8,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False
6.85,30.0,481,0.14,0.57,9,151,20.4,6,4,4,5,0,6,2,5,6,23,11,4,1,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,True,False,False,True,False,False,False,False
7.37,40.7,237,0.22,0.2,6,123,22.6,17,5,5,5,0,11,7,2,6,30,9,8,2,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,True,False,False,False,True,False,False,False
6.86,15.9,180,0.14,0.42,3,253,22.8,10,8,3,3,0,5,9,4,3,22,11,2,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False
7.35,23.5,167,0.07,0.22,19,102,24.3,1,2,3,7,27,0,6,12,0,36,13,6,0,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,True,False,False,False,False,True,False
7.44,21.4,112,0.27,0.64,12,34,27.2,0,4,6,0,16,5,3,8,3,19,10,5,1,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,True,False,False,False,False,False,True
6.81,52.3,331,0.33,0.12,11,329,21.7,12,12,0,6,0,12,2,5,5,36,8,4,0,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,False,True,False,False,False,True,False,False
7.4,5.4,77,0.46,0.56,0,7,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,True,False,False,False,False,False,True,False
6.86,18.8,588,0.76,0.18,74,136,22.1,1,6,22,3,0,1,8,10,12,40,13,7,2,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,True,False,False,False,True,False,False,False
7.78,40.8,472,0.22,0.35,6,463,18.5,28,10,2,10,0,13,4,8,3,43,26,4,3,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False
7.05,12.1,396,0.2,0.41,45,134,18.3,3,3,17,18,0,1,8,5,7,40,20,6,2,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,True,False,False,True,False,False,False,False
7.38,39.7,241,0.4,0.34,1,376,18.1,11,14,8,10,0,10,7,13,2,45,15,5,0,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False
7.43,1.7,32,0.87,0.17,6,4,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,True,False,False,True,False,False,False,False
7.28,21.6,160,0.11,0.38,18,66,25.4,1,2,5,5,13,3,13,15,0,34,13,8,1,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,True,False,False,False,False,False,False,True,False
7.13,27.8,312,0.3,0.15,2,149,23.1,10,6,6,20,0,5,5,14,6,34,22,7,2,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,False,True,False,False,False,True,False,False
7.15,24.8,446,0.28,0.3,18,386,24.4,8,6,4,7,0,15,6,7,2,29,15,4,0,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False
6.01,24.3,308,0.25,0.12,24,352,25.7,28,6,4,8,0,11,10,3,2,32,23,5,2,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False
7.59,4.7,141,0.4,0.47,7,1,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False
6.89,22.7,53,0.38,0.23,23,97,21.9,0,4,7,0,15,6,5,4,4,23,13,3,0,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,True,False,False,False,True,False,False,False
7.54,1.0,105,0.52,0.35,1,1,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True
6.95,9.0,170,0.3,0.14,18,34,23.9,6,3,6,5,27,3,11,9,3,36,23,8,2,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,True,False,False,False,False,False,True
7.59,23.5,337,0.51,0.13,8,236,23.7,13,8,1,8,0,10,3,3,3,29,9,6,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False
6.95,42.5,246,0.29,0.45,2,232,27.4,7,1,6,4,0,8,9,3,1,20,6,2,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False
7.27,25.1,576,0.2,0.65,19,245,22.7,18,5,2,4,0,12,4,5,1,24,9,6,1,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False
6.88,37.5,539,0.31,0.3,5,774,26.2,18,14,2,8,0,10,7,10,2,40,21,4,0,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,True,False,False,False,False,False,False,True
7.03,60.2,692,0.26,0.11,7,366,18.2,9,16,1,13,0,2,5,12,0,26,20,8,1,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False
7.35,11.1,116,0.06,0.38,24,45,26.6,6,1,4,8,13,0,19,14,6,38,17,8,1,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,False,True,True,False,False,False,False
7.44,5.1,82,0.42,0.26,3,4,25.3,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,False,False,True,False,False,False,False,True
6.95,4.6,78,0.71,0.5,3,0,16.6,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,True,False,False,False,False,True,False,False,False
7.23,8.7,226,0.26,0.44,38,23,19.9,2,6,24,10,0,1,13,9,7,31,25,8,2,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False
7.5,21.0,95,0.29,0.46,8,131,23.2,2,0,10,7,17,3,4,9,1,34,8,6,0,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,False,True,False,False,False,False,True
7.27,59.9,363,0.01,0.37,4,352,25.0,2,11,4,19,0,7,7,8,4,37,21,6,2,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,False,False,True,False,False,False,False,True
7.18,61.9,446,0.03,0.47,4,394,23.9,8,15,6,14,0,3,2,9,2,24,15,6,1,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False
7.32,29.9,275,0.15,0.39,32,115,25.3,2,0,15,16,0,6,14,2,10,30,14,4,0,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,True,False,False,False,False,True,False,False
7.57,24.3,221,0.19,0.63,44,48,27.3,2,2,6,5,0,4,5,9,9,23,13,6,1,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,True,False,False,True,False,False,False,False
7.19,6.7,77,0.16,0.12,16,108,25.0,2,2,10,3,25,1,18,11,3,50,13,9,1,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False
7.3,74.0,691,0.19,0.44,24,511,25.3,14,11,1,10,0,7,8,8,2,37,10,6,1,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,True,False,False,False,False,False,True,False
6.95,30.4,134,0.38,0.21,43,135,22.2,3,4,7,3,0,3,4,5,7,24,9,2,1,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,True,False,False,False,False,True,False,False,False
7.32,21.6,80,0.11,0.18,23,102,24.0,5,5,2,8,22,0,11,11,5,33,15,3,2,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True
7.51,25.4,135,0.2,0.31,19,149,24.6,4,1,9,2,6,0,16,8,4,29,10,3,0,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,True,False,False,False,True,False,False
